id,cell_type,chdir_norm,ctrl_ids,curator,geo_id,hs_gene_symbol,mm_gene_symbol,organism,pert_ids,pert_type,platform,version
gene:1850,mammary gland,,GSM72723|GSM72730|GSM72795|GSM72877,Andrew,GSE3260,FGFR1,Fgfr1,mouse,GSM72724|GSM72787|GSM72794|GSM72876,activemutant,GPL81,1.0
gene:1851,mammary gland,,GSM72723|GSM72730|GSM72795|GSM72877,Andrew,GSE3260,FGFR1,Fgfr1,mouse,GSM72725|GSM72788|GSM72792|GSM72868,activemutant,GPL81,1.0
gene:1854,skin exposed to 6hr UV,,GSM93181|GSM93182|GSM93183|GSM93184,Andrew,GSE4066,ERBB2,Erbb2,mouse,GSM93197|GSM93198|GSM93199|GSM93200,druginhibition,GPL339,1.0
gene:1855,skin exposed to 24hr UV,,GSM93189|GSM93190|GSM93191|GSM93192,Andrew,GSE4066,ERBB2,Erbb2,mouse,GSM93205|GSM93206|GSM93207,druginhibition,GPL339,1.0
gene:2747,epithelium,,GSM196062|GSM196063|GSM196064,HollyWoodland,GSE7957,MMP7,Mmp7,mouse,GSM196070|GSM196071|GSM196072,KO,GPL1261,1.0
gene:2746,placenta,,GSM159348|GSM159349|GSM159350,HollyWoodland,GSE6909,ADRA2B,Adra2b,mouse,GSM159345|GSM159346|GSM159347,KO,GPL1261,1.0
gene:2745,Mouse embryonic fibroblasts,,GSM718745|GSM718746,HollyWoodland,GSE29010,PTEN,Pten,mouse,GSM718747|GSM718748,KO,GPL8321,1.0
gene:2743,pancreas,,GSM841168|GSM841169|GSM841170,HollyWoodland,GSE34060,SOX9,Sox9,mouse,GSM841165|GSM841166|GSM841167,OE,GPL6246,1.0
gene:2742,MCF10A,,GSM908482|GSM908486,HollyWoodland,GSE37009,ERBB2,Erbb2,human,GSM908483|GSM908487,OE,GPL6244,1.0
gene:2741,MCF10A,,GSM908482|GSM908486,HollyWoodland,GSE37009,ERBB3,Erbb3,human,GSM908484|GSM908488,OE,GPL6244,1.0
gene:2740,P28 testis tissue,,GSM673862|GSM673863,tcolombo,GSE27261,DMRT1,Dmrt1,mouse,GSM673864|GSM673865,KO,GPL1261,1.0
gene:892,prostate epithelial cells,,GSM14659|GSM14669|GSM14670,,GSE934,RB1,Rb1,mouse,GSM14673|GSM14674,KO,GPL81,1.0
gene:893,spleen,,GSM13470|GSM13472,dsurujon,GSE867,NFE2L1,Nfe2l1,mouse,GSM13467|GSM13469,KO,GPL81,1.0
gene:890,HeLa cervical cancer cell line,,GSM662184|GSM662186|GSM662188,mtahay,GSE26888,SON,Son,human,GSM662185|GSM662187|GSM662189,KD,GPL571,1.0
gene:891,Thymocytes,,GSM1384042|GSM1384043|GSM1384044,shvetank,GSE57511,DICER1,Dicer1,mouse,GSM1384039|GSM1384040|GSM1384041,KD,GPL1261,1.0
gene:897,oculomotor neurons 10 week,,GSM75472|GSM75479|GSM75484,cms,GSE3343,SOD1,Sod1,mouse,GSM75488|GSM75489|GSM75490,G93A mutation,GPL339,1.0
gene:898,Spinal Cord 10 week,,GSM75485|GSM75486|GSM75487,cms,GSE3343,SOD1,Sod1,mouse,GSM75505|GSM75506|GSM75507,G93A mutation,GPL339,1.0
gene:899,Embryonic fibroblasts,,GSM37624|GSM37631|GSM37632|GSM37656,cadimo,GSE2082,DDIT3,Ddit3,mouse,GSM37657|GSM37658|GSM37659|GSM37660,NULL MUTATION,GPL81,1.0
gene:2792,HapMap lymphoblastoid cell line,,GSM1224066|GSM1224079|GSM1224081|GSM1224098|GSM1224104|GSM1224120|GSM1224123|GSM1224146|GSM1224147|GSM1224154|GSM1224168|GSM1224175|GSM1224238|GSM1224239|GSM1224240|GSM1224241|GSM1224242|GSM1224243,Bodolino,GSE50588,RAD21,Rad21,human,GSM1224077|GSM1224157|GSM1224188,KD,GPL10558,1.0
gene:1134,TF-1,,GSM944497|GSM944498,OliFucMuc,GSE38519,TRAF6,Traf6,human,GSM944499|GSM944500,shRNA ,GPL6244,1.0
gene:1131,bone-marrow derived macrophages,,GSM229589|GSM229590,OliFucMuc,GSE9037,IRAK4,Irak4,mouse,GSM229595|GSM229596,IRAK4 kinase deficient mutant,GPL1261,1.0
gene:68,K562 myeloid leukemia cell line,,GSM304303|GSM304304|GSM304479|GSM304480|GSM304481|GSM304482|GSM304483|GSM304484|GSM304486|GSM304498,cadimo,GSE12056,CREB1,Creb1,human,GSM304487|GSM304488|GSM304489|GSM304490|GSM304491|GSM304492|GSM304493|GSM304494|GSM304495|GSM304496,DEPLETION,GPL570,1.0
gene:1132,H157 cells,,GSM128643|GSM128644|GSM128645,,GSE5519,PARK7,Park7,human,GSM128646|GSM128647,KD,GPL96,1.0
gene:2752,A2058,,GSM777484|GSM777486|GSM777488,Apozar,GSE31351,PAGE5,,human,GSM777485|GSM777487|GSM777489,KD,GPL6097,1.0
gene:879,B cells,,GSM71996|GSM71997|GSM71998|GSM71999,dsurujon,GSE3203,IFNAR1,Ifnar1,mouse,GSM72000|GSM72001|GSM72002|GSM72003,KO,GPL1261,1.0
gene:870,Tibialis anterior,,GSM50494|GSM50495|GSM50497,cadimo,GSE2629,DYSF,Dysf,mouse,GSM50486|GSM50487|GSM50490,Deficiency,GPL81,1.0
gene:62,HeLa,,GSM662185|GSM662187|GSM662189,cadimo,GSE26888,SON,Son,human,GSM662184|GSM662186|GSM662188,KD,GPL571,1.0
gene:872,Hippocampus,,GSM36008|GSM36009|GSM36010,cadimo,GSE2005,ELAVL4,Elavl4,mouse,GSM36005|GSM36006|GSM36007,OE,GPL81,1.0
gene:875,MKN28,,GSM806616|GSM806617|GSM806618,mauroccm,GSE32540,PCDH12,Pcdh12,human,GSM806613|GSM806614|GSM806615,OE,GPL570,1.0
gene:60,thymic epithelial cells,,GSM47956|GSM48039|GSM48042,cadimo,GSE2515,AIRE,Aire,mouse,GSM48038|GSM48041|GSM48044,KO,GPL339,1.0
gene:1428,Lin- Rosa26rtTA cells,,GSM854160|GSM854161|GSM854162,FabioAmaral,GSE34729,MECOM,Mecom,mouse,GSM854163|GSM854164|GSM854165,OE,GPL1261,1.0
gene:1324,ES cells,,GSM768325|GSM768326,FabioAmaral,GSE31008,SMARCA4,Smarca4,mouse,GSM768355|GSM768356,KD,GPL7202,1.0
gene:1325,ES cells,,GSM768325|GSM768326,FabioAmaral,GSE31008,MBD3,Mbd3,mouse,GSM768357|GSM768358,KD,GPL7202,1.0
gene:1320,"vestibular organ, day P90",,GSM1589493|GSM1589494|GSM1589495,OliFucMuc,GSE65202,IGF1,Igf1,mouse,GSM1589490|GSM1589491|GSM1589492,KO,GPL6246,1.0
gene:1321,breast adenocarcinoma,,GSM1290791|GSM1290792,dsurujon,GSE53394,MAPK1,Mapk1,human,GSM1290795|GSM1290796,KD,GPL96,1.0
gene:1322,ES cells,,GSM768325|GSM768326,FabioAmaral,GSE31008,EP400,Ep400,mouse,GSM768333|GSM768334,KD,GPL7202,1.0
gene:1323,ES cells,,GSM768325|GSM768326,FabioAmaral,GSE31008,KAT5,Kat5,mouse,GSM768345|GSM768346,KD,GPL7202,1.0
gene:1328,ES cells,,GSM528603|GSM528609|GSM528613,FabioAmaral,GSE21135,POU5F1,Pou5f1,human,GSM528604|GSM528606|GSM528610,KD,GPL6947,1.0
gene:1329,ES cells,,GSM528605|GSM528607|GSM528611,FabioAmaral,GSE21135,POU5F1,Pou5f1,human,GSM528606|GSM528608|GSM528612,KD,GPL6947,1.0
gene:34,H441 lung cancer cells,,GSM1062878|GSM1062879|GSM1062880,Cadimo,GSE43459,ETS2,Ets2,human,GSM1062875|GSM1062876|GSM1062877,KD,GPL6244,1.0
gene:37,MDA-MB 231 breast cancer cells,,GSM1076967|GSM1076968,cadimo,GSE44024,PIAS1,Pias1,human,GSM1076965|GSM1076966,Depletion,GPL571,1.0
gene:36,LNCaP prostate cancer cell,,GSM1009354|GSM1009355,Cadimo,GSE41150,MED1,Med1,human,GSM1009352|GSM1009353,OE,GPL571,1.0
gene:1108,CD71+ bone marrow cells,,GSM562023|GSM562024|GSM562025,OliFucMuc,GSE22656,IFNG,Ifng,mouse,GSM562029|GSM562030|GSM562031,KO,GPL6246,1.0
gene:1109,CD71+ bone marrow cells,,GSM562023|GSM562024|GSM562025,OliFucMuc,GSE22656,CD70,Cd70,mouse,GSM562026|GSM562027|GSM562028,transgene,GPL6246,1.0
gene:32,multiple cell types,,GSM241738|GSM241740|GSM241742,Cadimo,GSE9549,SOCS3,Socs3,mouse,GSM241739|GSM241741|GSM241743,KO,GPL1261,1.0
gene:1456,ES cells,,GSM424460|GSM424461|GSM424462,FabioAmaral,GSE16923,DGCR8,Dgcr8,mouse,GSM424463|GSM424464|GSM424465,KO,GPL6246,1.0
gene:1457,ES cells,,GSM424460|GSM424461|GSM424462,FabioAmaral,GSE16923,DICER1,Dicer1,mouse,GSM424466|GSM424467|GSM424468,KO,GPL6246,1.0
gene:1106,"Colon, 4 weeks, C57BL/6J",,GSM39288|GSM39290,OliFucMuc,GSE2172,IL10,Il10,mouse,GSM39289|GSM39291,KO,GPL81,1.0
gene:1107,"Colon, 4 weeks, C3H/HeJBir",,GSM39295|GSM39296,OliFucMuc,GSE2172,IL10,Il10,mouse,GSM39294|GSM39297,KO,GPL81,1.0
gene:1452,ES cells,,GSM570862|GSM570863,FabioAmaral,GSE48790,GTF2I,Gtf2i,mouse,GSM1012186|GSM1012187,KO,GPL1261,1.0
gene:1453,ES cells,,GSM960877|GSM960878,FabioAmaral,GSE39321,OGT,Ogt,mouse,GSM960879|GSM960880,KD,GPL6246,1.0
gene:1450,ES cells,,GSM570862|GSM570863,FabioAmaral,GSE48790,HPRT1,Hprt,mouse,GSM570858|GSM570859,KO,GPL1261,1.0
gene:1451,ES cells,,GSM570862|GSM570863,FabioAmaral,GSE48790,GTF2I,Gtf2i,mouse,GSM570860|GSM570861,KO,GPL1261,1.0
gene:1698,liver,,GSM1386005|GSM1386006|GSM1386007,gszeto,GSE57655,NOTCH1,Notch1,mouse,GSM1386008|GSM1386009|GSM1386010,KO,GPL6246,1.0
gene:1699,strain background: 129/SvEv cell type: bone marrow derived dendritic cells (BMDCs) stimulated with: purified tumor-cell derived DNA; Treatment protocol	BMDCs were stimulated with tumor-derived DNA using Lipofectamin for 7 hours. Growth protocol	Bone marrow derived dendritic cells were generated by culturing bone marrow cells in the presence of GM-CSF for 9-12 days.,,GSM1515490|GSM1515493|GSM1515496,gszeto,GSE61835,TMEM173,Tmem173,mouse,GSM1515491|GSM1515494|GSM1515497,KO,GPL1261,1.0
gene:1694,Hep G2,,GSM721654|GSM721655|GSM721656,HollyWoodland,GSE29159,THRA,Thra,human,GSM721666|GSM721667|GSM721668,HCC mutant al,GPL6244,1.0
gene:1695,Hep G2,,GSM721654|GSM721655|GSM721656,HollyWoodland,GSE29159,THRA,Thra,human,GSM721672|GSM721673|GSM721674,RCCC mutant 6a,GPL6244,1.0
gene:1696,Hep G2,,GSM721660|GSM721661|GSM721662,HollyWoodland,GSE29159,THRB,Thrb,human,GSM721678|GSM721679|GSM721680,HCC mutant bN,GPL6244,1.0
gene:1697,Hep G2,,GSM721660|GSM721661|GSM721662,HollyWoodland,GSE29159,THRB,Thrb,human,GSM721684|GSM721685|GSM721686,RCCC mutant 15b,GPL6244,1.0
gene:1691,spleen at 1 month,,GSM185029|GSM185030|GSM185031,gszeto,GSE7657,IL1RN,Il1rn,mouse,GSM185009|GSM185010|GSM185011,KO,GPL1261,1.0
gene:1692,spleen at 4 month,,GSM185032|GSM185033|GSM185034,gszeto,GSE7657,IL1RN,Il1rn,mouse,GSM185012|GSM185013|GSM185014,KO,GPL1261,1.0
gene:1218,hippoccapal tissue postnatal day 10,,GSM24816|GSM25119|GSM25130,Xavier,GSE1482,NF1,Nf1,mouse,GSM25128|GSM25132|GSM25136|GSM25144,Heterozygotic knockout (NF1+/-),GPL81,1.0
gene:1219,hippoccapal tissue postnatal day 15,,GSM25122|GSM25133|GSM25134|GSM25135,Xavier,GSE1482,NF1,Nf1,mouse,GSM25127|GSM25137|GSM25140|GSM25141,,GPL81,1.0
gene:1210,"U2OS, osteosarcoma cells treated with: dexamethasone (Dex) for 0h",,GSM1130342|GSM1130360|GSM1130379|GSM1130398,,GSE46448,TGFB1I1,Tgfb1i1,human,GSM1130341|GSM1130359|GSM1130369|GSM1130392,KD,GPL10558,1.0
gene:1211,"U2OS, osteosarcoma cells, treated with dexamethasone (Dex) for 2h",,GSM1130352|GSM1130380|GSM1130384|GSM1130387,chrisliu,GSE46448,TGFB1I1,Tgfb1i1,human,GSM1130340|GSM1130354|GSM1130367|GSM1130386,KD,GPL10558,1.0
gene:1212,"U2OS, osteosarcoma cells treated with: dexamethasone (Dex) for 4h",,GSM1130357|GSM1130362|GSM1130368|GSM1130370,chrisliu,GSE46448,TGFB1I1,Tgfb1i1,human,GSM1130351|GSM1130373|GSM1130382|GSM1130391,KD,GPL10558,1.0
gene:1213,"U2OS, osteosarcoma cells treated with: dexamethasone (Dex) for 24h",,GSM1130346|GSM1130348|GSM1130374|GSM1130393,chrisliu,GSE46448,TGFB1I1,Tgfb1i1,human,GSM1130344|GSM1130363|GSM1130377|GSM1130395,KD,GPL10558,1.0
gene:1217,293T cells,,GSM24862|GSM24863|GSM24864|GSM24865,Xavier,GSE1473,CTNNB1,,human,GSM24858|GSM24859|GSM24860|GSM24861,beta-catenin S37A mutant,GPL96,1.0
gene:2004,MEFs,,GSM285955|GSM285956|GSM285957|GSM285958|GSM285969|GSM285970|GSM285971|GSM285972,Andrew,GSE11319,MET,Met,mouse,GSM285959|GSM285960|GSM285961|GSM285962|GSM285973|GSM285974|GSM285975|GSM285976,activemutant,GPL4487,1.0
gene:2005,"liver tissue,  n-nitrosodiethylamine treatment",,GSM217220|GSM217222|GSM217224|GSM217234|GSM217235,Andrew,GSE8747,MET,Met,mouse,GSM217225|GSM217227|GSM217236|GSM217237|GSM217238,knockout,GPL4200,1.0
gene:2006,"liver tissue, n-nitrosodiethylamine treatment",,GSM217219|GSM217221|GSM217223|GSM217229|GSM217230,Andrew,GSE8747,MET,Met,mouse,GSM217226|GSM217228|GSM217231|GSM217232|GSM217233,knockout,GPL4200,1.0
gene:2007,"liver tissue, n-nitrosodiethylamine treatment",,GSM217201|GSM217203|GSM217205|GSM217207|GSM217209,Andrew,GSE8747,MET,Met,mouse,GSM217211|GSM217213|GSM217216|GSM217218,knockout,GPL4200,1.0
gene:2000,"primary hepatocytes, HGF stimulation",,GSM100094|GSM100095|GSM100096|GSM100097|GSM100098|GSM100099,Andrew,GSE4451,MET,Met,mouse,GSM100088|GSM100089|GSM100090|GSM100091|GSM100092|GSM100093,knockout,GPL1536,1.0
gene:2001,"primary hepatocytes, HGF stimulation",,GSM100100|GSM100101|GSM100102|GSM100103|GSM100104|GSM100105,Andrew,GSE4451,MET,Met,mouse,GSM100051|GSM100053|GSM100106|GSM100107|GSM100108|GSM100109,knockout,GPL1536,1.0
gene:2002,"primary hepatocytes, HGF stimulation",,GSM100069|GSM100070|GSM100071|GSM100072|GSM100073|GSM100074,Andrew,GSE4451,MET,Met,mouse,GSM100075|GSM100076|GSM100077|GSM100078|GSM100079|GSM100080,knockout,GPL1536,1.0
gene:2003,"primary hepatocytes, HGF stimulation",,GSM100056|GSM100057|GSM100058|GSM100081|GSM100082|GSM100083,Andrew,GSE4451,MET,Met,mouse,GSM100059|GSM100060|GSM100084|GSM100085|GSM100086|GSM100087,knockout,GPL1536,1.0
gene:2008,"liver tissue,  n-nitrosodiethylamine treatment",,GSM217200|GSM217202|GSM217204|GSM217206|GSM217208,Andrew,GSE8747,MET,Met,mouse,GSM217210|GSM217214|GSM217215|GSM217217,knockout,GPL4200,1.0
gene:2009,melanoma,,GSM1034539|GSM1034540|GSM1034541|GSM1034542,Andrew,GSE42187,PDK1,Pdk1,mouse,GSM1034543|GSM1034544|GSM1034545|GSM1034546,knockout,GPL6885,1.0
gene:1070,OSE4 and IOSE80pc ovarian surface epithelial cells,,GSM925597|GSM925599,HollyWoodland,GSE37684,ARID1A,Arid1a,human,GSM925598|GSM925600,KD,GPL10558,1.0
gene:1071,prostate cancer,,GSM1211849|GSM1211854|GSM1211859,solomoniyi,GSE50002,TWIST1,Twist1,mouse,GSM1211848|GSM1211853|GSM1211858,OE,GPL6246,1.0
gene:1072,MDA-MB-231,,GSM1322441|GSM1322442,chrisliu,GSE54707,CCAR2,Ccar2,human,GSM1322443|GSM1322444,KD,GPL6244,1.0
gene:1074,murine embryonic fibroblasts (MEFs),,GSM1556844|GSM1556845,chrisliu,GSE63767,TFAM,Tfam,mouse,GSM1556846|GSM1556847,KD,GPL6246,1.0
gene:1075,prostate cancer,,GSM1211847|GSM1211852|GSM1211857,solomoniyi,GSE50002,TWIST1,Twist1,mouse,GSM1211849|GSM1211854|GSM1211859,OE,GPL6246,1.0
gene:1076,prostate cancer,,GSM1211847|GSM1211852|GSM1211857,solomoniyi,GSE50002,TWIST1,Twist1,mouse,GSM1211850|GSM1211855|GSM1211860,OE,GPL6246,1.0
gene:1077,prostate cancer,,GSM1211847|GSM1211852|GSM1211857,solomoniyi,GSE50002,TWIST1,Twist1,mouse,GSM1211851|GSM1211856|GSM1211861,OE,GPL6246,1.0
gene:1078,prostate cancer,,GSM1211847|GSM1211852|GSM1211857,solomoniyi,GSE50002,TWIST1,Twist1,mouse,GSM1211848|GSM1211853|GSM1211858,OE,GPL6246,1.0
gene:1079,breast cancer,,GSM870011|GSM870013,solomoniyi,GSE35511,ZNF217,Zfp217,human,GSM870010|GSM870012,OE,GPL570,1.0
gene:1553,CD4+ T cells (pooled thymus and spleen),,GSM313189|GSM313190,gszeto,GSE12465,ITK,Itk,mouse,GSM313191|GSM313192|GSM313193,KO,GPL1261,1.0
gene:649,Basal Breast Cancer Cells,,GSM596523|GSM596524|GSM596525,vmathur,GSE24249,GATA3,Gata3,human,GSM596526|GSM596527|GSM596528,Ectopic expression,GPL570,1.0
gene:648,Prostate epithelium,,GSM648298|GSM648299|GSM648300,vmathur,GSE26410,IKBKB,Ikbkb,mouse,GSM648295|GSM648296|GSM648297,Constitutional activation,GPL6246,1.0
gene:647,Splenic B cells,,GSM616665|GSM616666|GSM616667,vmathur,GSE25100,ID4,Id4,mouse,GSM616662|GSM616663|GSM616664,KO,GPL1261,1.0
gene:643,Panc-1 cells,,GSM904693|GSM904694|GSM904695,vmathur,GSE36855,GLI1,Gli1,human,GSM904696|GSM904697|GSM904698,INHIBITION,GPL6244,1.0
gene:642,Liver,,GSM808406|GSM808407|GSM808408,vmathur,GSE32609,LMNA,Lmna,mouse,GSM808403|GSM808404|GSM808405,Lmna Gly609Gly knock-in ,GPL6246,1.0
gene:641,Cardiac muscles from 10.5-month (mdx animals),,GSM24800|GSM24801|GSM24802,cadimo,GSE1471,DMD,Dmd,mouse,GSM24803|GSM24804|GSM24805,Deficiency,GPL339,1.0
gene:640,Cardiac muscles from 8-week (mdx animals),,GSM24794|GSM24795|GSM24796,cadimo,GSE1471,DMD,Dmd,mouse,GSM24797|GSM24798|GSM24799,Deficiency,GPL339,1.0
gene:3112,Macrovascular umbilical vein endothelial cells,,GSM50777|GSM50778|GSM50779|GSM50780,VICENTE,GSE2639,TNF,Tnf,human,GSM50781|GSM50782|GSM50783|GSM50784,Stimulation of gene product,GPL96,1.0
gene:467,MCF10A,,GSM406560|GSM406562|GSM406564,zero323,GSE16200,SYK,Syk,human,GSM406566|GSM406568|GSM406570,KD,GPL571,1.0
gene:2179,3T3,,GSM231384|GSM231409|GSM231417,Kevin,GSE9161,CDKN1B,Cdkn1b,mouse,GSM231405|GSM231414|GSM231425,KO,GPL1261,1.0
