id,cell_type,ctrl_ids,curator,drug_name,drugbank_id,geo_id,organism,pert_ids,platform,pubchem_cid,smiles,version
drug:3511,mouse embryonic fibroblast cells (MEF cells),GSM817302|GSM817303,MicrotaskManic,Vitamin c,DB00126,GSE32994,mouse,GSM817300|GSM817301,GPL6246,,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,1.0
drug:3516,liver,GSM326974|GSM326976|GSM326978|GSM326980|GSM326982,MicrotaskManic,Perfluorooctanoic acid,,GSE13044,mouse,GSM326983|GSM326985|GSM326987|GSM326989|GSM326991,GPL1261,9554.0,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,1.0
drug:3517,liver,GSM326974|GSM326976|GSM326978|GSM326980|GSM326982,MicrotaskManic,Perfluorooctanoic acid,,GSE13044,mouse,GSM326993|GSM326995|GSM326997|GSM326999|GSM327001,GPL1261,9554.0,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,1.0
drug:3550,Nasal EPITHELIA exposed to 6 ppm - Inhalation - 19 Days,GSM159799|GSM159800|GSM159801|GSM159812,cadimo,Formaldehyde,,GSE7002,rat,GSM159741|GSM159742|GSM159743|GSM159755,GPL1355,712.0,C=O,1.0
drug:3634,cranial neural crest - 48 Hours,GSM27271|GSM27272|GSM27273|GSM27274,cadimo,Tretinoin,DB00755,GSE1588,mouse,GSM27275|GSM27276|GSM27277,GPL81,444795.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1.0
drug:3515,aorta,GSM478610|GSM478611,MicrotaskManic,Vitamin e,DB00163,GSE42813,mouse,GSM1050380|GSM1050381,GPL1261,14985.0,CC1=C(C(=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O,1.0
drug:3474,PC-3 cells,GSM1286084|GSM1286089,MicrotaskManic,Gefitinib,DB00317,GSE53180,human,GSM1286087|GSM1286092,GPL4133,123631.0,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,1.0
drug:3668,Skeletal muscle - 8 Hour,GSM5047|GSM5048|GSM5049|GSM5071,cadimo,Methylprednisolone,DB00959,GSE490,rat,GSM5215|GSM5216|GSM5217,GPL85,6741.0,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,1.0
drug:3669,Skeletal muscle - 12 Hour,GSM5047|GSM5048|GSM5049|GSM5071,cadimo,Methylprednisolone,DB00959,GSE490,rat,GSM5072|GSM5073|GSM5074,GPL85,6741.0,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,1.0
drug:2471,"brain, 4 week treatment",GSM149811|GSM149812|GSM149813,candicek,Haloperidol,DB00502,GSE6511,mouse,GSM149808|GSM149809|GSM149810,GPL81,3559.0,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,1.0
drug:2671,hippocampus,GSM53447|GSM53448|GSM53449|GSM53450|GSM53451|GSM53452|GSM53453,candicek,Levetiracetam,,GSE2880,rat,GSM53433|GSM53434|GSM53435|GSM53436|GSM53437|GSM53438|GSM53439,GPL1355,5284583.0,CCC(C(=O)N)N1CCCC1=O,1.0
drug:2672,left sciatic nerve,GSM286159|GSM286160|GSM286163|GSM286165,AliDot,Rosiglitazone,,GSE11343,mouse,GSM286431|GSM286432|GSM286433|GSM286434|GSM286436,GPL1261,77999.0,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,1.0
drug:2673,liver   b,GSM89873|GSM89875|GSM89878|GSM89881,Axel,Alitretinoin,DB00523,GSE3952,rat,GSM89858|GSM89861|GSM89864|GSM89867,GPL85,,C/C(=C/C=C/C(=C/C(=O)O)/C)/C=C/C1=C(C)CCCC1(C)C,1.0
drug:3233,NB4 APL 9 acute promyelocytic leukemia cells - 72 Hours,GSM594067|GSM594068|GSM594069,cadimo,Tretinoin,DB00755,GSE23702,human,GSM594079|GSM594080|GSM594081,GPL6244,444795.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1.0
drug:3232,NB4 APL 9 acute promyelocytic leukemia cells -  (TG2-knockdown) 72 Hours,GSM594070|GSM594071|GSM594072,cadimo,Tretinoin,DB00755,GSE23702,human,GSM594082|GSM594083|GSM594084,GPL6244,444795.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1.0
drug:3231,NB4 APL 9 - acute promyelocytic leukemia cells - (TG2-knockdown) 48 Hours,GSM594070|GSM594071|GSM594072,cadimo,Tretinoin,DB00755,GSE23702,human,GSM594076|GSM594077|GSM594078,GPL6244,444795.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1.0
drug:3230,Mesentery - BALB/DBA F1 hybrid mice - Day 3,GSM432913|GSM432914|GSM432915,cadimo,Pristane,,GSE17297,mouse,GSM432910|GSM432911|GSM432912,GPL1261,15979.0,CC(C)CCCC(C)CCCC(C)CCCC(C)C,1.0
drug:3237,MCF-7 breast cancer cells,GSM797427|GSM797430,cadimo,Tretinoin,DB00755,GSE32161,human,GSM797428|GSM797431,GPL570,444795.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,1.0
drug:3198,AEC (primary airway epithelial cells) -  6 Hours with 0.4mM,GSM245430|GSM245432|GSM245440|GSM245452,cadimo,Hypochlorous acid,,GSE11630,human,GSM245427|GSM245437|GSM245449|GSM245457,GPL571,24341.0,OCl,1.0
drug:3235,Culture from neonates ovaries,GSM585549|GSM585550|GSM585551,cadimo,Methoxychlor,,GSE23725,mouse,GSM585555|GSM585556|GSM585557,GPL1261,4115.0,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl,1.0
drug:3234,Culture from ovaries neonates,GSM585549|GSM585550|GSM585551,cadimo,4-vinylcyclohexene diepoxide,,GSE23725,mouse,GSM585552|GSM585553|GSM585554,GPL1261,7833.0,C1CC2C(O2)CC1C3CO3,1.0
drug:3665,Skeletal muscle - 5.5 Hour,GSM5047|GSM5048|GSM5049|GSM5071,cadimo,Methylprednisolone,DB00959,GSE490,rat,GSM5191|GSM5192|GSM5193,GPL85,6741.0,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,1.0
drug:3239,MCF7 breast cancer cells - 100nM,GSM645710|GSM645711|GSM645718|GSM645719,cadimo,4-hydroxytamoxifen,,GSE26298,human,GSM645712|GSM645713,GPL570,449459.0,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,1.0
drug:3199,AEC (primary airway epithelial cells) -  2 Hours with 1mM,GSM245436|GSM245444|GSM245448|GSM245456,cadimo,Hypochlorous acid,,GSE11630,human,GSM245434|GSM245442|GSM245446|GSM245454,GPL571,24341.0,OCl,1.0
drug:3592,Gallbladders (from leptin-deficient obese females following daily treatment with 5 ug/g recombinant leptin for 4 weeks),GSM74081|GSM74083|GSM74171|GSM74189,cadimo,Leptin,DB05098,GSE3293,mouse,GSM74190|GSM74191|GSM74192|GSM74194,GPL1261,,,1.0
drug:3304,No Data,GSM1217777|GSM1217782|GSM1217785,gswaminath,Morphine,DB00295,GSE50382,mouse,GSM1217776|GSM1217778|GSM1217779|GSM1217780|GSM1217781|GSM1217783|GSM1217784|GSM1217786|GSM1217787|GSM1217788|GSM1217789|GSM1217790,GPL6246,5288826.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1.0
drug:3302,No Data,GSM365306|GSM365308|GSM365310|GSM365312|GSM365314,gswaminath,Mycophenolic acid,DB01024,GSE14630,human,GSM365307|GSM365309|GSM365311|GSM365313|GSM365315,GPL96,446541.0,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC,1.0
drug:3301,No Data,GSM929282|GSM929283|GSM929284|GSM929288|GSM929289|GSM929290,gswaminath,Acetaminophen,DB00316,GSE37874,mouse,GSM929285|GSM929286|GSM929287|GSM929291|GSM929292|GSM929293,GPL8321,1983.0,CC(=O)NC1=CC=C(C=C1)O,1.0
drug:3300,No Data,GSM1195853|GSM1195856|GSM1195857|GSM1195862|GSM1195865,gswaminath,Abiraterone,DB05812,GSE49244,human,GSM1195851|GSM1195852|GSM1195854|GSM1195855|GSM1195858|GSM1195859|GSM1195860|GSM1195861|GSM1195863|GSM1195864|GSM1195866|GSM1195867,GPL6244,,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC=C2c2cccnc2)C)C1)C,1.0
drug:3309,Liver (129S1/SvImJ strain) - 24 hours after treatment,GSM597130|GSM597144|GSM597168,cadimo,Trichloroethylene,,GSE24278,mouse,GSM597077|GSM597095|GSM597113,GPL7202,6575.0,C(=C(Cl)Cl)Cl,1.0
drug:3160,OVCAR-8 ovarian carcinoma cell line,GSM1160828|GSM1160829|GSM1160830,cadimo,Cisplatin,DB00515,GSE47856,human,GSM1160831|GSM1160832|GSM1160833,GPL6244,441203.0,N.N.Cl[Pt+2]Cl,1.0
drug:3494,muscle,GSM1009750|GSM1009754|GSM1009758|GSM1009762|GSM1009766|GSM1009770|GSM1009774|GSM1009780|GSM1009786|GSM1009790|GSM1009794|GSM1009798|GSM1009802|GSM1009808|GSM1009814|GSM1009818|GSM1009822|GSM1009826|GSM1009830|GSM1009834|GSM1009838|GSM1009842|GSM1009846|GSM1009850|GSM1009852|GSM1009856|GSM1009860|GSM1009864|GSM1009868|GSM1009870|GSM1009876|GSM1009880|GSM1009884|GSM1009888,MicrotaskManic,Resveratrol,DB02709,GSE41168,human,GSM1009763|GSM1009793|GSM1009815|GSM1009823|GSM1009831|GSM1009839|GSM1009847|GSM1009857|GSM1009889,GPL570,,Oc1ccc(cc1)/C=C/c1cc(O)cc(c1)O,1.0
drug:3493,Striatum - SWR/J mice - Chronic morphine treatment,GSM187992|GSM187993|GSM187994,cadimo,Morphine,DB00295,GSE7762,mouse,GSM187998|GSM187999|GSM188000,GPL1261,5288826.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1.0
drug:3492,Striatum - DBA/2J mice - Chronic morphine treatment,GSM187983|GSM187984|GSM187985,cadimo,Morphine,DB00295,GSE7762,mouse,GSM187989|GSM187990|GSM187991,GPL1261,5288826.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1.0
drug:3490,Striatum - 129P3/J mice - Chronic morphine treatment,GSM187965|GSM187966|GSM187967,cadimo,Morphine,DB00295,GSE7762,mouse,GSM187971|GSM187972|GSM187973,GPL1261,5288826.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1.0
drug:2786,NA,GSM75876|GSM75877|GSM75878,Axel,Metoprolol,DB00264,GSE3356,human,GSM75879|GSM75880|GSM75881,GPL96,4171.0,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,1.0
drug:2787,NA,GSM396141|GSM396145|GSM396161|GSM396197|GSM396205|GSM396225,Axel,Morphine,DB00295,GSE15774,mouse,GSM396131|GSM396157|GSM396173,GPL6105,5288826.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1.0
drug:2542,H1299,GSM720489|GSM720490,MicrotaskManic,Azacitidine,DB00928,GSE29077,human,GSM720491|GSM720492,GPL571,9444.0,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,1.0
drug:2543,HT29,GSM288491|GSM288497|GSM288499,alanstern,Methotrexate,DB00563,GSE11440,human,GSM288501|GSM288502|GSM288536,GPL570,126941.0,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,1.0
drug:2540,A549,GSM720475|GSM720476,MicrotaskManic,Decitabine,DB01262,GSE29077,human,GSM720487|GSM720488,GPL571,451668.0,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,1.0
drug:2546,H1299,GSM720489|GSM720490,MicrotaskManic,Decitabine,DB01262,GSE29077,human,GSM720497|GSM720498,GPL571,451668.0,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,1.0
drug:2547,H1299,GSM720489|GSM720490,MicrotaskManic,Decitabine,DB01262,GSE29077,human,GSM720499|GSM720500,GPL571,451668.0,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,1.0
drug:2544,H1299,GSM720489|GSM720490,MicrotaskManic,Azacitidine,DB00928,GSE29077,human,GSM720493|GSM720494,GPL571,9444.0,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,1.0
drug:2545,H1299,GSM720489|GSM720490,MicrotaskManic,Azacitidine,DB00928,GSE29077,human,GSM720495|GSM720496,GPL571,9444.0,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,1.0
drug:3545,Nasal EPITHELIA exposed to 2 ppm - Inhalation - 19 Days,GSM159799|GSM159800|GSM159801|GSM159812,cadimo,Formaldehyde,,GSE7002,rat,GSM159773|GSM159774|GSM159775|GSM159776,GPL1355,712.0,C=O,1.0
drug:3544,Nasal EPITHELIA exposed to 2 ppm - Inhalation - 8 Days,GSM159779|GSM159780|GSM159781|GSM159782|GSM159783,cadimo,Formaldehyde,,GSE7002,rat,GSM159748|GSM159749|GSM159750|GSM159761,GPL1355,712.0,C=O,1.0
drug:2548,H1299,GSM720489|GSM720490,MicrotaskManic,Decitabine,DB01262,GSE29077,human,GSM720501|GSM720502,GPL571,451668.0,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,1.0
drug:3546,Nasal EPITHELIA exposed to 6 ppm - Inhalation - 6 Hours,GSM159785|GSM159786|GSM159787|GSM159788|GSM159789|GSM159796|GSM159797|GSM159798,cadimo,Formaldehyde,,GSE7002,rat,GSM159729|GSM159738|GSM159739|GSM159740,GPL1355,712.0,C=O,1.0
drug:3541,Nasal EPITHELIA exposed to 2 ppm - Inhalation - 6 Hours,GSM159785|GSM159786|GSM159787|GSM159788|GSM159789|GSM159796|GSM159797|GSM159798,cadimo,Formaldehyde,,GSE7002,rat,GSM159757|GSM159758|GSM159759|GSM159760,GPL1355,712.0,C=O,1.0
drug:3540,Nasal EPITHELIA exposed to 0.7ppm - Inhalation - 19 Days,GSM159799|GSM159800|GSM159801|GSM159812,cadimo,Formaldehyde,,GSE7002,rat,GSM159813|GSM159814|GSM159815|GSM159816,GPL1355,712.0,C=O,1.0
drug:3543,Nasal EPITHELIA exposed to 2 ppm - Inhalation - 5 Days,GSM159792|GSM159793|GSM159794|GSM159795,cadimo,Formaldehyde,,GSE7002,rat,GSM159756|GSM159766|GSM159767|GSM159768|GSM159769,GPL1355,712.0,C=O,1.0
drug:3542,Nasal EPITHELIA exposed to 2 ppm - Inhalation - 24 Hours,GSM159802|GSM159803|GSM159804|GSM159805,cadimo,Formaldehyde,,GSE7002,rat,GSM159762|GSM159763|GSM159764|GSM159765,GPL1355,712.0,C=O,1.0
drug:2763,NA,GSM577857|GSM577859|GSM577861|GSM577863,Axel,Imatinib,DB00619,GSE23743,human,GSM577858|GSM577860|GSM577862|GSM577913,GPL571,5291.0,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,1.0
drug:2723,NA,GSM11709|GSM11720,Axel,Doxorubicin,DB00997,GSE763,human,GSM11687|GSM11693,GPL550,31703.0,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,1.0
drug:3069,HT29 colon adenocarcinoma cells (6 Hours following treatment with 10nM),GSM60133|GSM60134,cadimo,Apratoxin a,,GSE2742,human,GSM60137|GSM60138,GPL96,6326668.0,CCC(C)C1C(=O)N2CCCC2C(=O)OC(CC(CC(C(C3=NC(CS3)C=C(C(=O)NC(C(=O)N(C(C(=O)N1C)C)C)CC4=CC=C(C=C4)OC)C)C)O)C)C(C)(C)C,1.0
drug:3324,Liver ( c57BL/6J strain) - 24 hours after treatment,GSM597102|GSM597119,cadimo,Trichloroethylene,,GSE24278,mouse,GSM597135|GSM597151|GSM597163,GPL7202,6575.0,C(=C(Cl)Cl)Cl,1.0
drug:3609,Thymus (of ovariectomized C57BL/6) - 6 Days,GSM63205|GSM63206,cadimo,Estradiol,DB00783,GSE2889,mouse,GSM63218|GSM63220,GPL339,5757.0,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,1.0
drug:2485,CD4+,GSM788303|GSM788304|GSM788305|GSM788306|GSM788307|GSM788308|GSM788309|GSM788310,vcogliani,Hydroxyzine,DB00557,GSE31773,human,GSM788311|GSM788312|GSM788313|GSM788314|GSM788315|GSM788316|GSM788317|GSM788318,GPL570,3658.0,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,1.0
drug:2481,uninfected hepatoma Huh7.5.1 cells,GSM568463|GSM568464|GSM568465,timkenny92,Ribavirin,DB00811,GSE23031,human,GSM568466|GSM568467|GSM568468,GPL570,37542.0,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,1.0
drug:3059,MCF-7 BREAST CANCER cell line,GSM213330|GSM213331|GSM213332|GSM213333,cadimo,Cycloheximide,,GSE8597,human,GSM213322|GSM213323|GSM213324|GSM213325,GPL570,6197.0,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,1.0
drug:3587,Lymphoblastoid cell line (Bleomycin-insensitive),GSM81940|GSM81942|GSM81948|GSM81950|GSM81954|GSM81956|GSM81958,cadimo,Bleomycin,DB00290,GSE3598,human,GSM81941|GSM81943|GSM81949|GSM81951|GSM81955|GSM81957|GSM81959,GPL2902,5360373.0,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,1.0
drug:3058,HL60 promyelocytic leukemia cell line,GSM697692|GSM697693,maroulisv,Diclofenac,DB00586,GSE28185,human,GSM697696|GSM697697,GPL571,3033.0,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.0
drug:2591,plaque on epidermis,GSM1155752|GSM1155757|GSM1155763|GSM1155769|GSM1155775|GSM1155780,MicrotaskManic,Etanercept,DB00005,GSE47751,human,GSM1155753|GSM1155758|GSM1155764|GSM1155770|GSM1155776|GSM1155781,GPL570,,,1.0
drug:3662,Skeletal muscle - 2 Hour,GSM5047|GSM5048|GSM5049|GSM5071,cadimo,Methylprednisolone,DB00959,GSE490,rat,GSM5183|GSM5184|GSM5185,GPL85,6741.0,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,1.0
drug:2590,subcutaneous fat tissues of type 2 Lepr(db/db) mice,GSM99687|GSM99688|GSM99689|GSM99690,nbongio,Chromium(iii) nicotinate,,GSE4420,mouse,GSM99691|GSM99692|GSM99693|GSM99694,GPL1261,56843898.0,C1=CC(=CN=C1)C(=O)[O-].C1=CC(=CN=C1)C(=O)[O-].C1=CC(=CN=C1)C(=O)[O-].[Cr+3],1.0
drug:3603,macrophages -  100 ng/ml LPS for 18 hours,GSM35899|GSM35900|GSM35901,cadimo,Lipopolysaccharide,,GSE2002,mouse,GSM35902|GSM35903|GSM35904,GPL339,11970143.0,CCCCCCCCCCCCCCCC1C(OC(C(C1OC(=O)CC(CCCCCCCCCCC)O)O)COC2C(C(C(C(O2)COC3(CC(C(C(O3)C(CO)O)OC4C(C(C(C(O4)C(CO)O)OP(=O)(O)OP(=O)(O)OCCN)OC5C(C(C(C(O5)C(COC6C(C(C(CO6)(C(CO)O)O)O)O)O)OP(=O)(O)O)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)OC9C(C(C(C(O9)CO)O)O)OC1C(C(C(C(O1)CO)OC1C(C(C(C(O1)CO)O)OC1C(C(C(C(O1)C)OC1C(C(C(C(O1)CO)O)OC1C(CC(C(O1)C)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)O)O)O)OC1(CC(C(C(O1)C(CO)O)O)OC1(CC(C(C(O1)C(CO)O)O)O)C(=O)O)C(=O)O)C(=O)O)OP(=O)(O)O)OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)CP(=O)(O)O,1.0
drug:2593,plaque on epidermis,GSM1155752|GSM1155757|GSM1155763|GSM1155769|GSM1155775|GSM1155780,MicrotaskManic,Etanercept,DB00005,GSE47751,human,GSM1155755|GSM1155760|GSM1155766|GSM1155772|GSM1155777|GSM1155783,GPL570,,,1.0
drug:3055,SLM2 melanoma cells,GSM957759|GSM957763,maroulisv,Sorafenib,DB00398,GSE39192,human,GSM957760|GSM957764,GPL6947,216239.0,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,1.0
drug:3454,heart,GSM378051|GSM378052|GSM378053,MicrotaskManic,Coenzyme q10,,GSE15129,mouse,GSM378054|GSM378055|GSM378056,GPL1261,5281915.0,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,1.0
drug:3068,HT29 colon adenocarcinoma cells (6 Hours following treatment with 2nM),GSM60133|GSM60134,cadimo,Apratoxin a,,GSE2742,human,GSM60135|GSM60136,GPL96,6326668.0,CCC(C)C1C(=O)N2CCCC2C(=O)OC(CC(CC(C(C3=NC(CS3)C=C(C(=O)NC(C(=O)N(C(C(=O)N1C)C)C)CC4=CC=C(C=C4)OC)C)C)O)C)C(C)(C)C,1.0
drug:3681,epithelial lung cells,GSM980285|GSM980286|GSM980287,MicrotaskManic,"2,3-dimethoxy-1,4-naphtoquinone (dmnq)",,GSE39843,human,GSM980288|GSM980289|GSM980290,GPL570,3136.0,COC1=C(C(=O)C2=CC=CC=C2C1=O)OC,1.0
drug:3054,MCF7 breast adenocarcinoma cells - 24 Hours,GSM212654|GSM212661|GSM297803,cadimo,Argyrin a,,GSE8565,human,GSM212659|GSM297802|GSM297806,GPL570,24978550.0,CCC1C2=NC(=CS2)C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(=C)C(=O)N(CC(=O)N1)C)C)CC3=CNC4=C3C(=CC=C4)OC)CC5=CNC6=CC=CC=C65,1.0
drug:3252,SKBR3 parental and resistant (SKBR3-R) cell lines,GSM940879|GSM940880|GSM940881,Pascal,Lapatinib,DB01259,GSE38376,human,GSM940888|GSM940889|GSM940890,GPL6947,208908.0,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,1.0
drug:3682,epithelial lung cells,GSM980291|GSM980292|GSM980293,MicrotaskManic,"2,3-dimethoxy-1,4-naphtoquinone (dmnq)",,GSE39843,human,GSM980294|GSM980295|GSM980296,GPL570,3136.0,COC1=C(C(=O)C2=CC=CC=C2C1=O)OC,1.0
drug:3470,cerebellum,GSM1521847|GSM1521848|GSM1521849,MicrotaskManic,Nicotinamide riboside,,GSE62194,mouse,GSM1521844|GSM1521845|GSM1521846,GPL6885,439924.0,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,1.0
drug:3407,U937 monoctyes exposed to oxidative stress - 4 Hours,GSM276211|GSM276219|GSM276227,cadimo,Curcumin,,GSE10896,human,GSM276212|GSM276220|GSM276228,GPL570,969516.0,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,1.0
