disease_set,disease,experiment
adenocarcinoma,endometrial cancer,dz:845
adenocarcinoma,endometrial cancer,dz:846
adenocarcinoma,endometrial cancer,dz:847
adenocarcinoma,endometrial cancer,dz:848
adenocarcinoma,endometrial cancer,dz:849
adenocarcinoma,esophagus adenocarcinoma,dz:164
adenocarcinoma,esophagus adenocarcinoma,dz:644
adenocarcinoma,invasive ductal carcinoma,dz:606
adenocarcinoma,invasive ductal carcinoma,dz:626
adenocarcinoma,Lung Injury,dz:67
adenocarcinoma,Lung transplant rejection,dz:66
adenocarcinoma,ovarian serous carcinoma,dz:755
adenocarcinoma,pancreatic ductal adenocarcinoma,dz:604
adenocarcinoma,pancreatic ductal adenocarcinoma,dz:698
adenocarcinoma,pancreatic intraductal papillary-mucinous adenoma,dz:608
adenocarcinoma,pancreatic invasive intraductal papillary-mucinous carcinoma,dz:610
adenocarcinoma,pancreatic non-invasive intraductal papillary-mucinous carcinoma,dz:609
adenocarcinoma,salivary gland adenoid cystic carcinoma,dz:511
adenocarcinoma,serous cystadenocarcinoma,dz:58
adenocarcinoma,thymic carcinoma,dz:344
adenocarcinoma,thymic carcinoma,dz:985
adenoma,colon adenoma,dz:550
adenoma,pancreatic intraductal papillary-mucinous adenoma,dz:608
adolescence-adult electroclinical syndrome,epilepsy syndrome,dz:417
adolescence-adult electroclinical syndrome,Generalized seizures,dz:169
adolescence-adult electroclinical syndrome,progressive myoclonus epilepsy,dz:516
adolescence-adult electroclinical syndrome,progressive myoclonus epilepsy,dz:517
adolescence-adult electroclinical syndrome,progressive myoclonus epilepsy,dz:518
adrenal gland disease,Meningococcal infection,dz:347
adult acute lymphocytic leukemia,precursor B lymphoblastic lymphoma/leukemia,dz:803
age related macular degeneration,macular degeneration,dz:46
alcohol-induced mental disorder,alcoholic hepatitis,dz:477
allergic asthma,allergic asthma,dz:436
allergic asthma,allergic asthma,dz:716
allergic asthma,asthma,dz:565
allergic asthma,asthma,dz:566
allergic asthma,asthma,dz:567
allergic asthma,asthma,dz:568
allergic asthma,asthma,dz:712
allergic asthma,asthma,dz:714
allergic asthma,asthma,dz:753
allergic conjunctivitis,Rett syndrome,dz:390
allergic conjunctivitis,Setleis syndrome,dz:285
allergic conjunctivitis,Sjogren's syndrome,dz:888
allergic conjunctivitis,Sjogren's syndrome,dz:890
allergic conjunctivitis,Treacher Collins syndrome,dz:480
allergic contact dermatitis,allergic contact dermatitis,dz:925
allergic contact dermatitis,allergic contact dermatitis,dz:926
allergic contact dermatitis,allergic contact dermatitis,dz:927
allergic contact dermatitis,allergic contact dermatitis,dz:928
allergic hypersensitivity disease,allergic asthma,dz:436
allergic hypersensitivity disease,allergic asthma,dz:716
allergic hypersensitivity disease,allergic contact dermatitis,dz:925
allergic hypersensitivity disease,allergic contact dermatitis,dz:926
allergic hypersensitivity disease,allergic contact dermatitis,dz:927
allergic hypersensitivity disease,allergic contact dermatitis,dz:928
allergic hypersensitivity disease,asthma,dz:565
allergic hypersensitivity disease,asthma,dz:566
allergic hypersensitivity disease,asthma,dz:567
allergic hypersensitivity disease,asthma,dz:568
allergic hypersensitivity disease,asthma,dz:712
allergic hypersensitivity disease,asthma,dz:714
allergic hypersensitivity disease,asthma,dz:753
alpha thalassemia,intellectual disability,dz:1044
alpha thalassemia,intellectual disability,dz:1047
Alzheimer's disease,Alzheimer's disease,dz:519
Alzheimer's disease,Alzheimer's disease,dz:520
Alzheimer's disease,Alzheimer's disease,dz:521
Alzheimer's disease,Alzheimer's disease,dz:522
Alzheimer's disease,Alzheimer's disease,dz:523
Alzheimer's disease,Alzheimer's disease,dz:524
Alzheimer's disease,Alzheimer's disease,dz:592
amelogenesis imperfecta,Hereditary gingival fibromatosis,dz:177
amino acid metabolic disorder,methylmalonic acidemia,dz:476
ampulla of Vater adenocarcinoma,colorectal adenocarcinoma,dz:1070
ampulla of Vater adenocarcinoma,colorectal adenocarcinoma,dz:595
ampulla of Vater cancer,colorectal adenocarcinoma,dz:1070
ampulla of Vater cancer,colorectal adenocarcinoma,dz:595
ampulla of Vater carcinoma,colorectal adenocarcinoma,dz:1070
ampulla of Vater carcinoma,colorectal adenocarcinoma,dz:595
amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,dz:679
amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,dz:681
anal carcinoma,esophagus squamous cell carcinoma,dz:607
anal carcinoma,esophagus squamous cell carcinoma,dz:658
anal carcinoma,nasopharynx carcinoma,dz:613
anal carcinoma,nasopharynx carcinoma,dz:774
anal carcinoma,nasopharynx carcinoma,dz:775
anal carcinoma,nasopharynx carcinoma,dz:776
anal carcinoma,nasopharynx carcinoma,dz:777
anal carcinoma,nasopharynx carcinoma,dz:778
anal carcinoma,nasopharynx carcinoma,dz:808
anal carcinoma,thymic carcinoma,dz:344
anal carcinoma,thymic carcinoma,dz:985
anal squamous cell carcinoma,nasopharynx carcinoma,dz:613
anal squamous cell carcinoma,nasopharynx carcinoma,dz:774
anal squamous cell carcinoma,nasopharynx carcinoma,dz:775
anal squamous cell carcinoma,nasopharynx carcinoma,dz:776
anal squamous cell carcinoma,nasopharynx carcinoma,dz:777
anal squamous cell carcinoma,nasopharynx carcinoma,dz:778
anal squamous cell carcinoma,nasopharynx carcinoma,dz:808
anal squamous cell carcinoma,thymic carcinoma,dz:344
anal squamous cell carcinoma,thymic carcinoma,dz:985
anemia,Diamond-Blackfan anemia,dz:472
anemia,myelodysplastic syndrome,dz:747
anemia,myelodysplastic syndrome,dz:748
anemia,myelodysplastic syndrome,dz:749
anemia,myelodysplastic syndrome,dz:750
anemia,myelodysplastic syndrome,dz:812
anemia,sickle cell anemia,dz:109
anemia,sickle cell anemia,dz:481
anemia,sickle cell anemia,dz:505
anemia,sickle cell anemia,dz:506
anemia,sickle cell anemia,dz:507
angle-closure glaucoma,glaucoma,dz:260
angle-closure glaucoma,glaucoma,dz:486
angle-closure glaucoma,glaucoma,dz:487
angle-closure glaucoma,glaucoma,dz:488
angle-closure glaucoma,glaucoma,dz:489
angle-closure glaucoma,glaucoma,dz:490
angle-closure glaucoma,glaucoma,dz:491
anus cancer,esophagus squamous cell carcinoma,dz:607
anus cancer,esophagus squamous cell carcinoma,dz:658
anus cancer,nasopharynx carcinoma,dz:613
anus cancer,nasopharynx carcinoma,dz:774
anus cancer,nasopharynx carcinoma,dz:775
anus cancer,nasopharynx carcinoma,dz:776
anus cancer,nasopharynx carcinoma,dz:777
anus cancer,nasopharynx carcinoma,dz:778
anus cancer,nasopharynx carcinoma,dz:808
anus cancer,thymic carcinoma,dz:344
anus cancer,thymic carcinoma,dz:985
anus disease,esophagus squamous cell carcinoma,dz:607
anus disease,esophagus squamous cell carcinoma,dz:658
anus disease,Human immunodeficiency virus infectious disease,dz:40
anus disease,Human immunodeficiency virus infectious disease,dz:419
anus disease,nasopharynx carcinoma,dz:613
anus disease,nasopharynx carcinoma,dz:774
anus disease,nasopharynx carcinoma,dz:775
anus disease,nasopharynx carcinoma,dz:776
anus disease,nasopharynx carcinoma,dz:777
anus disease,nasopharynx carcinoma,dz:778
anus disease,nasopharynx carcinoma,dz:808
anus disease,thymic carcinoma,dz:344
anus disease,thymic carcinoma,dz:985
anxiety disorder,endogenous depression,dz:463
aplastic anemia,Diamond-Blackfan anemia,dz:472
aplastic anemia,sickle cell anemia,dz:109
aplastic anemia,sickle cell anemia,dz:481
aplastic anemia,sickle cell anemia,dz:505
aplastic anemia,sickle cell anemia,dz:506
aplastic anemia,sickle cell anemia,dz:507
arteriosclerosis,atherosclerosis,dz:508
arteriosclerosis,atherosclerosis,dz:906
arteriosclerosis,Generalized seizures,dz:169
arteriosclerotic cardiovascular disease,atherosclerosis,dz:508
arteriosclerotic cardiovascular disease,atherosclerosis,dz:906
arteriosclerotic cardiovascular disease,Generalized seizures,dz:169
artery disease,acute myocardial infarction,dz:1000
artery disease,acute myocardial infarction,dz:1001
artery disease,acute myocardial infarction,dz:1002
artery disease,acute myocardial infarction,dz:1003
artery disease,acute myocardial infarction,dz:1004
artery disease,acute myocardial infarction,dz:1005
artery disease,acute myocardial infarction,dz:510
artery disease,atherosclerosis,dz:508
artery disease,atherosclerosis,dz:906
artery disease,Generalized seizures,dz:169
artery disease,hypertension,dz:400
artery disease,intracranial aneurysm,dz:744
artery disease,nephrosclerosis,dz:905
artery disease,pulmonary tuberculosis,dz:831
artery disease,pulmonary tuberculosis,dz:832
arthritis,arthritis,dz:574
arthritis,arthritis,dz:575
arthritis,arthritis,dz:576
arthritis,arthritis,dz:577
arthritis,arthritis,dz:578
arthritis,arthritis,dz:579
arthritis,arthritis,dz:580
arthritis,arthropathy,dz:271
arthritis,JRA - Juvenile rheumatoid arthritis,dz:176
arthritis,juvenile rheumatoid arthritis,dz:430
arthritis,rheumatoid arthritis,dz:110
arthritis,rheumatoid arthritis,dz:779
arthritis,Septic Shock,dz:307
arthropathy,ankylosing spondylitis,dz:202
arthropathy,arthritis,dz:574
arthropathy,arthritis,dz:575
arthropathy,arthritis,dz:576
arthropathy,arthritis,dz:577
arthropathy,arthritis,dz:578
arthropathy,arthritis,dz:579
arthropathy,arthritis,dz:580
arthropathy,arthropathy,dz:271
arthropathy,tendinitis,dz:470
ascending colon cancer,colon cancer,dz:502
aspergillosis,bronchopulmonary dysplasia,dz:918
aspergillosis,bronchopulmonary dysplasia,dz:919
aspergillosis,Infection by Aspergillus fumigatus,dz:386
aspergillosis,pulmonary sarcoidosis,dz:916
aspergillosis,pulmonary tuberculosis,dz:831
aspergillosis,pulmonary tuberculosis,dz:832
asthma,allergic asthma,dz:436
asthma,allergic asthma,dz:716
asthma,asthma,dz:565
asthma,asthma,dz:566
asthma,asthma,dz:567
asthma,asthma,dz:568
asthma,asthma,dz:712
asthma,asthma,dz:714
asthma,asthma,dz:753
astrocytoma,astrocytoma,dz:860
astrocytoma,astrocytoma,dz:861
astrocytoma,glioblastoma multiforme,dz:862
astrocytoma,glioblastoma multiforme,dz:863
atherosclerosis,atherosclerosis,dz:508
atherosclerosis,atherosclerosis,dz:906
atherosclerosis,Generalized seizures,dz:169
atopic dermatitis,atopic dermatitis,dz:509
atopic dermatitis,atopic dermatitis,dz:857
auditory system disease,Acute Lung Injury,dz:152
auditory system disease,Acute Lung Injury,dz:168
auditory system disease,Meningococcal infection,dz:347
auditory system disease,motor neuritis,dz:104
auditory system disease,Rhinovirus infection,dz:324
auditory system disease,Rotavirus infection of children,dz:43
auditory system disease,Streptococcal tonsillitis,dz:263
autism spectrum disorder,autism spectrum disorder,dz:1021
autism spectrum disorder,autism spectrum disorder,dz:1022
autism spectrum disorder,autism spectrum disorder,dz:1023
autism spectrum disorder,autism spectrum disorder,dz:1024
autism spectrum disorder,autism spectrum disorder,dz:1025
autism spectrum disorder,autism spectrum disorder,dz:1026
autism spectrum disorder,autism spectrum disorder,dz:1027
autism spectrum disorder,autism spectrum disorder,dz:1028
autism spectrum disorder,autism spectrum disorder,dz:1029
autism spectrum disorder,autism spectrum disorder,dz:1030
autism spectrum disorder,autism spectrum disorder,dz:1032
autism spectrum disorder,autism spectrum disorder,dz:1036
autism spectrum disorder,autism spectrum disorder,dz:1037
autism spectrum disorder,autism spectrum disorder,dz:1038
autism spectrum disorder,autism spectrum disorder,dz:464
autism spectrum disorder,autistic disorder,dz:1042
autism spectrum disorder,autistic disorder,dz:1043
autism spectrum disorder,autistic disorder,dz:1045
autoimmune disease of cardiovascular system,APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune disease of cardiovascular system,atherosclerosis,dz:508
autoimmune disease of cardiovascular system,atherosclerosis,dz:906
autoimmune disease of central nervous system,APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune disease of central nervous system,multiple myeloma,dz:561
autoimmune disease of central nervous system,multiple myeloma,dz:707
autoimmune disease of central nervous system,multiple myeloma,dz:787
autoimmune disease of central nervous system,multiple myeloma,dz:955
autoimmune disease of central nervous system,multiple sclerosis,dz:737
autoimmune disease of central nervous system,multiple sclerosis,dz:738
autoimmune disease of central nervous system,multiple sclerosis,dz:743
autoimmune disease of central nervous system,multiple sclerosis,dz:746
autoimmune disease of central nervous system,relapsing-remitting multiple sclerosis,dz:879
autoimmune disease of endocrine system,APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune disease of endocrine system,myotonic dystrophy type 1,dz:1049
autoimmune disease of endocrine system,myotonic dystrophy type 1,dz:1050
autoimmune disease of endocrine system,myotonic dystrophy type 1,dz:1051
autoimmune disease of endocrine system,myotonic dystrophy type 1,dz:1052
autoimmune disease of endocrine system,myotonic dystrophy type 1,dz:1053
autoimmune disease of endocrine system,myotonic dystrophy type 1,dz:1054
"autoimmune disease of eyes, ear, nose and throat",APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune disease of gastrointestinal tract,APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune disease of musculoskeletal system,ankylosing spondylitis,dz:202
autoimmune disease of musculoskeletal system,discoid lupus erythematosus,dz:689
autoimmune disease of musculoskeletal system,lupus erythematosus,dz:739
autoimmune disease of musculoskeletal system,systemic lupus erythematosus,dz:450
autoimmune disease of musculoskeletal system,systemic lupus erythematosus,dz:816
autoimmune disease of peripheral nervous system,motor neuritis,dz:104
autoimmune disease of the nervous system,APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune disease of the nervous system,motor neuritis,dz:104
autoimmune disease of the nervous system,multiple myeloma,dz:561
autoimmune disease of the nervous system,multiple myeloma,dz:707
autoimmune disease of the nervous system,multiple myeloma,dz:787
autoimmune disease of the nervous system,multiple myeloma,dz:955
autoimmune disease of the nervous system,multiple sclerosis,dz:737
autoimmune disease of the nervous system,multiple sclerosis,dz:738
autoimmune disease of the nervous system,multiple sclerosis,dz:743
autoimmune disease of the nervous system,multiple sclerosis,dz:746
autoimmune disease of the nervous system,relapsing-remitting multiple sclerosis,dz:879
autoimmune hypersensitivity disease,ankylosing spondylitis,dz:202
autoimmune hypersensitivity disease,APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune hypersensitivity disease,atherosclerosis,dz:508
autoimmune hypersensitivity disease,atherosclerosis,dz:906
autoimmune hypersensitivity disease,discoid lupus erythematosus,dz:689
autoimmune hypersensitivity disease,lupus erythematosus,dz:739
autoimmune hypersensitivity disease,motor neuritis,dz:104
autoimmune hypersensitivity disease,multiple myeloma,dz:561
autoimmune hypersensitivity disease,multiple myeloma,dz:707
autoimmune hypersensitivity disease,multiple myeloma,dz:787
autoimmune hypersensitivity disease,multiple myeloma,dz:955
autoimmune hypersensitivity disease,multiple sclerosis,dz:737
autoimmune hypersensitivity disease,multiple sclerosis,dz:738
autoimmune hypersensitivity disease,multiple sclerosis,dz:743
autoimmune hypersensitivity disease,multiple sclerosis,dz:746
autoimmune hypersensitivity disease,myotonic dystrophy type 1,dz:1049
autoimmune hypersensitivity disease,myotonic dystrophy type 1,dz:1050
autoimmune hypersensitivity disease,myotonic dystrophy type 1,dz:1051
autoimmune hypersensitivity disease,myotonic dystrophy type 1,dz:1052
autoimmune hypersensitivity disease,myotonic dystrophy type 1,dz:1053
autoimmune hypersensitivity disease,myotonic dystrophy type 1,dz:1054
autoimmune hypersensitivity disease,relapsing-remitting multiple sclerosis,dz:879
autoimmune hypersensitivity disease,Sjogren's syndrome,dz:888
autoimmune hypersensitivity disease,Sjogren's syndrome,dz:890
autoimmune hypersensitivity disease,systemic lupus erythematosus,dz:450
autoimmune hypersensitivity disease,systemic lupus erythematosus,dz:816
autoimmune polyendocrine syndrome,APECED - Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,dz:6
autoimmune polyendocrine syndrome,myotonic dystrophy type 1,dz:1049
autoimmune polyendocrine syndrome,myotonic dystrophy type 1,dz:1050
autoimmune polyendocrine syndrome,myotonic dystrophy type 1,dz:1051
autoimmune polyendocrine syndrome,myotonic dystrophy type 1,dz:1052
autoimmune polyendocrine syndrome,myotonic dystrophy type 1,dz:1053
autoimmune polyendocrine syndrome,myotonic dystrophy type 1,dz:1054
autonomic nervous system disease,diabetic neuropathy,dz:7
autonomic neuropathy,diabetic neuropathy,dz:7
autosomal dominant disease,acne,dz:297
autosomal dominant disease,acne,dz:459
autosomal dominant disease,Alzheimer's disease,dz:519
autosomal dominant disease,Alzheimer's disease,dz:520
autosomal dominant disease,Alzheimer's disease,dz:521
autosomal dominant disease,Alzheimer's disease,dz:522
autosomal dominant disease,Alzheimer's disease,dz:523
autosomal dominant disease,Alzheimer's disease,dz:524
autosomal dominant disease,Alzheimer's disease,dz:592
autosomal dominant disease,bronchopulmonary dysplasia,dz:918
autosomal dominant disease,bronchopulmonary dysplasia,dz:919
autosomal dominant disease,childhood type dermatomyositis,dz:771
autosomal dominant disease,childhood type dermatomyositis,dz:772
autosomal dominant disease,cleft lip,dz:618
autosomal dominant disease,Emery-Dreifuss muscular dystrophy,dz:675
autosomal dominant disease,Emery-Dreifuss muscular dystrophy,dz:676
autosomal dominant disease,Emery-Dreifuss muscular dystrophy,dz:677
autosomal dominant disease,epidermolysis bullosa simplex,dz:711
autosomal dominant disease,glaucoma,dz:260
autosomal dominant disease,glaucoma,dz:486
autosomal dominant disease,glaucoma,dz:487
autosomal dominant disease,glaucoma,dz:488
autosomal dominant disease,glaucoma,dz:489
autosomal dominant disease,glaucoma,dz:490
autosomal dominant disease,glaucoma,dz:491
autosomal dominant disease,intellectual disability,dz:1044
autosomal dominant disease,intellectual disability,dz:1047
autosomal dominant disease,Intestinal polyposis,dz:952
autosomal dominant disease,macular degeneration,dz:46
autosomal dominant disease,morbid obesity,dz:583
autosomal dominant disease,multiple sclerosis,dz:737
autosomal dominant disease,multiple sclerosis,dz:738
autosomal dominant disease,multiple sclerosis,dz:743
autosomal dominant disease,multiple sclerosis,dz:746
autosomal dominant disease,neurofibromatosis,dz:665
autosomal dominant disease,neurofibromatosis,dz:666
autosomal dominant disease,neurofibromatosis,dz:667
autosomal dominant disease,neurofibromatosis,dz:668
autosomal dominant disease,neurofibromatosis,dz:669
autosomal dominant disease,neurofibromatosis,dz:670
autosomal dominant disease,obesity,dz:154
autosomal dominant disease,obesity,dz:236
autosomal dominant disease,Parkinson's disease,dz:1080
autosomal dominant disease,Parkinson's disease,dz:496
autosomal dominant disease,Parkinson's disease,dz:741
autosomal dominant disease,Parkinson's disease,dz:788
autosomal dominant disease,Parkinson's disease,dz:940
autosomal dominant disease,Parkinson's disease,dz:941
autosomal dominant disease,polycystic ovary syndrome,dz:292
autosomal dominant disease,polycystic ovary syndrome,dz:308
autosomal dominant disease,polycystic ovary syndrome,dz:468
autosomal dominant disease,polycystic ovary syndrome,dz:558
autosomal dominant disease,polycystic ovary syndrome,dz:559
autosomal dominant disease,polycystic ovary syndrome,dz:560
autosomal dominant disease,polycystic ovary syndrome,dz:797
autosomal dominant disease,polycystic ovary syndrome,dz:806
autosomal dominant disease,polycystic ovary syndrome,dz:818
autosomal dominant disease,polycystic ovary syndrome,dz:825
autosomal dominant disease,polycystic ovary syndrome,dz:826
autosomal dominant disease,polycystic ovary syndrome,dz:880
autosomal dominant disease,Psoriasis vulgaris,dz:35
autosomal dominant disease,Psoriasis vulgaris,dz:444
autosomal dominant disease,Psoriasis vulgaris,dz:93
autosomal dominant disease,relapsing-remitting multiple sclerosis,dz:879
autosomal dominant disease,Treacher Collins syndrome,dz:480
autosomal dominant disease,Turner syndrome,dz:1059
autosomal dominant disease,type 1 diabetes mellitus,dz:346
autosomal dominant disease,type 1 diabetes mellitus,dz:363
autosomal dominant disease,type 2 diabetes mellitus,dz:203
autosomal dominant disease,type 2 diabetes mellitus,dz:299
autosomal dominant disease,type 2 diabetes mellitus,dz:45
autosomal dominant disease,type 2 diabetes mellitus,dz:581
autosomal dominant disease,type 2 diabetes mellitus,dz:882
autosomal dominant disease,type 2 diabetes mellitus,dz:893
autosomal dominant disease,type 2 diabetes mellitus,dz:895
autosomal dominant limb-girdle muscular dystrophy,myotonic dystrophy type 1,dz:1049
autosomal dominant limb-girdle muscular dystrophy,myotonic dystrophy type 1,dz:1050
autosomal dominant limb-girdle muscular dystrophy,myotonic dystrophy type 1,dz:1051
autosomal dominant limb-girdle muscular dystrophy,myotonic dystrophy type 1,dz:1052
autosomal dominant limb-girdle muscular dystrophy,myotonic dystrophy type 1,dz:1053
autosomal dominant limb-girdle muscular dystrophy,myotonic dystrophy type 1,dz:1054
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:292
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:308
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:468
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:558
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:559
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:560
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:797
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:806
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:818
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:825
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:826
autosomal dominant polycystic kidney disease,polycystic ovary syndrome,dz:880
autosomal genetic disease,acne,dz:297
autosomal genetic disease,acne,dz:459
autosomal genetic disease,Alzheimer's disease,dz:519
autosomal genetic disease,Alzheimer's disease,dz:520
autosomal genetic disease,Alzheimer's disease,dz:521
autosomal genetic disease,Alzheimer's disease,dz:522
autosomal genetic disease,Alzheimer's disease,dz:523
autosomal genetic disease,Alzheimer's disease,dz:524
autosomal genetic disease,Alzheimer's disease,dz:592
autosomal genetic disease,arthropathy,dz:271
autosomal genetic disease,atherosclerosis,dz:508
autosomal genetic disease,atherosclerosis,dz:906
autosomal genetic disease,bronchopulmonary dysplasia,dz:918
autosomal genetic disease,bronchopulmonary dysplasia,dz:919
autosomal genetic disease,childhood type dermatomyositis,dz:771
autosomal genetic disease,childhood type dermatomyositis,dz:772
autosomal genetic disease,cleft lip,dz:618
autosomal genetic disease,cystic fibrosis,dz:1055
autosomal genetic disease,cystic fibrosis,dz:1056
autosomal genetic disease,cystic fibrosis,dz:1057
autosomal genetic disease,cystic fibrosis,dz:138
autosomal genetic disease,cystic fibrosis,dz:428
autosomal genetic disease,cystic fibrosis,dz:65
autosomal genetic disease,cystic fibrosis,dz:833
autosomal genetic disease,Down syndrome,dz:105
autosomal genetic disease,Down syndrome,dz:1062
autosomal genetic disease,Down syndrome,dz:1063
autosomal genetic disease,Down syndrome,dz:277
autosomal genetic disease,Down syndrome,dz:529
autosomal genetic disease,Emery-Dreifuss muscular dystrophy,dz:675
autosomal genetic disease,Emery-Dreifuss muscular dystrophy,dz:676
autosomal genetic disease,Emery-Dreifuss muscular dystrophy,dz:677
autosomal genetic disease,epidermolysis bullosa simplex,dz:711
autosomal genetic disease,glaucoma,dz:260
autosomal genetic disease,glaucoma,dz:486
autosomal genetic disease,glaucoma,dz:487
autosomal genetic disease,glaucoma,dz:488
autosomal genetic disease,glaucoma,dz:489
autosomal genetic disease,glaucoma,dz:490
autosomal genetic disease,glaucoma,dz:491
autosomal genetic disease,Hereditary gingival fibromatosis,dz:177
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:850
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:851
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:867
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:868
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:869
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:871
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:872
autosomal genetic disease,idiopathic pulmonary fibrosis,dz:873
autosomal genetic disease,intellectual disability,dz:1044
autosomal genetic disease,intellectual disability,dz:1047
autosomal genetic disease,Intestinal polyposis,dz:952
autosomal genetic disease,macular degeneration,dz:46
autosomal genetic disease,morbid obesity,dz:583
autosomal genetic disease,multiple sclerosis,dz:737
autosomal genetic disease,multiple sclerosis,dz:738
autosomal genetic disease,multiple sclerosis,dz:743
