mgi_symbol,hgnc_symbol
Slco1a5,SLCO1A2
Nlk,NLK
Trub1,TRUB1
Pdia6,PDIA6
Csn2,CSN2
Ovol1,OVOL1
Mrpl43,MRPL43
Gsdmc,GSDMC
Fbln7,FBLN7
Six1,SIX1
Chordc1,CHORDC1
Alkbh6,ALKBH6
Ctns,CTNS
Atf2,ATF2
Hectd1,HECTD1
Olfr1356,OR7C2
Vill,VILL
Epb41l4b,EPB41L4B
Celf4,CELF4
Prr14,PRR14
Serpine2,SERPINE2
Frmd3,FRMD3
Riok1,RIOK1
Best2,BEST2
Glrx3,GLRX3
Osr1,OSR1
Dcaf7,DCAF7
Eif4ebp1,EIF4EBP1
Celf1,CELF1
Ndufs3,NDUFS3
Fam161a,FAM161A
Tmppe,TMPPE
Fn3k,FN3K
Mid2,MID2
Syne4,SYNE4
Heatr5b,HEATR5B
Dad1,DAD1
Krt19,KRT19
Tbcc,TBCC
4833427G06Rik,C11orf88
Tsc22d3,TSC22D3
Golga7b,GOLGA7B
Lix1,LIX1
0610040J01Rik,C4orf19
Pde4d,PDE4D
Top3b,TOP3B
Rem1,REM1
Zc3h12b,ZC3H12B
Casp14,CASP14
Gsdmc4,GSDMC
Acsm3,ACSM3
Rhot1,RHOT1
Adrb3,ADRB3
Maea,MAEA
Riok2,RIOK2
Ccnd2,CCND2
Gpr137c,GPR137C
Ccdc105,CCDC105
Zfp329,ZNF329
Nwd2,NWD2
Nlrx1,NLRX1
Kbtbd4,KBTBD4
Rnf5,RNF5
Fam213b,FAM213B
Cage1,CAGE1
Rln1,RLN1
Psme2,PSME2
Zfp821,ZNF821
Rps6kb1,RPS6KB1
Ist1,IST1
Pkd1l3,PKD1L3
Anapc15-ps,ANAPC15
Sema4g,SEMA4G
Hoxa10,HOXA10
Gtf2i,GTF2I
Fam49b,FAM49B
Trir,TRIR
Nrbf2,NRBF2
Fam213a,FAM213A
Izumo1r,IZUMO1R
Matk,MATK
Esam,ESAM
Cryaa,CRYAA2
Fut8,FUT8
Gab2,GAB4
Svip,SVIP
Thumpd1,THUMPD1
Tasp1,TASP1
F2,F2
Tomt,LRTOMT
Des,DES
Slco1a6,SLCO1A2
Morf4l2,MORF4L2
Defb36,DEFB123
Slco1a1,SLCO1A2
Six4,SIX4
Recql,RECQL
Tssk2,TSSK2
Lipg,LIPG
Crhr1,CRHR1
Fzd6,FZD6
Vdac1,VDAC1
Samd10,SAMD10
Gm9772,ZNF660
Ass1,ASS1
Ado,ADO
Ces5a,CES5A
Sqor,SQOR
Plec,PLEC
Gm45736,WDR74
Hdac4,HDAC4
Hapln4,HAPLN4
Muc5ac,MUC5AC
Rell1,RELL1
Prkdc,PRKDC
Uts2r,UTS2R
Dnah7c,DNAH7
Dync1i2,DYNC1I2
Sdha,SDHA
P2rx5,P2RX5-TAX1BP3
Gprin1,GPRIN1
Gm29797,C20orf204
Tet1,TET1
Acsm1,ACSM1
Hoxa9,HOXA9
Rnft1,RNFT1
Trac,TRAC
Chrnb3,CHRNB3
Wdr18,WDR18
Ice1,ICE1
Apex1,APEX1
Capn6,CAPN6
Adra1a,ADRA1A
Asna1,ASNA1
Rgs17,RGS17
Nkx6-3,NKX6-3
Prpf6,PRPF6
Ammecr1l,AMMECR1L
Sim1,SIM1
Smyd1,SMYD1
1700092M07Rik,TEX54
Gsdmc3,GSDMC
Vps4b,VPS4B
Tmem87b,TMEM87B
Mrgprb3,MRGPRX2
Gnmt,GNMT
Hdac9,HDAC9
Il7r,IL7R
Fbxw27,FBXW12
Ash2l,ASH2L
Fbxw22,FBXW12
Kin,KIN
Lsm1,LSM1
Gdf1,GDF1
Gdf1,CERS1
Ccl3,CCL3L3
Ccl3,CCL3L1
Fbxw20,FBXW12
Fnta,FNTA
Tmem55a,PIP4P2
Atg9a,ATG9A
Bax,BAX
Crhr1,LINC02210-CRHR1
Ncln,NCLN
Glis3,GLIS3
Net1,NET1
Sympk,SYMPK
Cfl1,CFL1
Gcnt2,GCNT2
Stx18,STX18
Dcp1b,DCP1B
Tmem70,TMEM70
Fbxw21,FBXW12
Fam98b,FAM98B
Tulp3,TULP3
Taco1,TACO1
Mdh2,MDH2
Gdap1,GDAP1
Rgmb,RGMB
Tmem97,TMEM97
L3mbtl3,L3MBTL3
Meox1,MEOX1
Urgcp,URGCP
Tmem186,TMEM186
Nipal4,NIPAL4
Fgf6,FGF6
H1f0,H1F0
Cyp4f37,CYP4F12
Rnf170,RNF170
Gm5225,PRDX2
Mrpl4,MRPL4
Steap1,STEAP1B
Hs3st6,HS3ST6
Sod2,SOD2
Hook3,HOOK3
Fam26d,CALHM4
Mast1,MAST1
Fbxw13,FBXW12
1600002K03Rik,C19orf24
Mms22l,MMS22L
Scaf1,SCAF1
Fbxw16,FBXW12
Star,STAR
Zmat5,ZMAT5
Zfp369,ZNF274
Mgea5,OGA
Skp1a,SKP1
Mrgprb4,MRGPRX2
Nek6,NEK6
Zcchc4,ZCCHC4
Tcerg1l,TCERG1L
Cerkl,CERKL
Itfg2,ITFG2
Efemp2,EFEMP2
Tmem214,TMEM214
Gemin8,GEMIN8
Polr3a,POLR3A
BC017643,CYBC1
Hoxa11,HOXA11
Gal,GAL
Tex13a,TEX13B
Yipf5,YIPF5
Hist1h2bk,HIST1H2BK
Mettl6,METTL6
Cct4,CCT4
Ckap5,CKAP5
Armcx2,ARMCX2
Ptdss2,PTDSS2
Usp31,USP31
Krt16,KRT16
Ptpn3,PTPN3
Styxl1,STYXL1
Cdkl3,CDKL3
Olfr1293-ps,OR4F17
Gtpbp6,GTPBP6
Fam26e,CALHM5
Gfra3,GFRA3
Lpar5,LPAR5
Recql5,RECQL5
Slc17a1,SLC17A1
Golt1b,GOLT1B
Thnsl2,THNSL2
Ero1l,ERO1A
Fam53c,FAM53C
Zc3h6,ZC3H6
Mapt,MAPT
Skida1,SKIDA1
Taldo1,TALDO1
Anxa4,ANXA4
Cyp4f16,CYP4F12
Ly6d,LY6D
Cers1,GDF1
Cers1,CERS1
Gsc2,GSC2
Abat,ABAT
Fpgs,FPGS
Sfxn5,SFXN5
Pgm1,PGM2
Naa16,NAA16
Luc7l,LUC7L
Svil,SVIL
Astl,ASTL
Zfp110,ZNF274
Fam47c,FAM47C
Nkx1-1,NKX1-1
Glp1r,GLP1R
Il13,IL13
Uba1,UBA1
Casp12,CASP12
Car10,CA10
D6Wsu163e,C12orf4
Rbck1,RBCK1
Gm45692,RNF170
Fbxw28,FBXW12
Car5a,CA5A
Sost,SOST
Tomm6,TOMM6
Zfp322a,ZNF322
Il5,IL5
Dcx,DCX
Cldn10,CLDN10
Gcsh,GCSH
Atmin,ATMIN
Krt17,KRT17
Hs3st2,HS3ST2
Zbtb14,ZBTB14
Adam19,ADAM19
Gpx4,GPX4
Rint1,RINT1
Klhl32,KLHL32
Pgc,PGC
Msantd2,MSANTD2
Dusp22,DUSP22
Zfp11,ZNF729
Myo3b,MYO3B
Efcab10,EFCAB10
Cd274,CD274
Tcp1,TCP1
Icam4,ICAM4
Vsig1,VSIG1
Cyp11b2,CYP11B2
Cyp11b2,CYP11B1
Lgals9,LGALS9B
Abcb6,ABCB6
Ptprd,PTPRD
Mbd3l2,MBD3L2B
Hspb6,HSPB6
Drosha,DROSHA
Rassf8,RASSF8
Mis12,MIS12
Med10,MED10
Tmbim1,TMBIM1
Stmnd1,STMND1
Ift20,IFT20
Gml,GML
Uri1,URI1
Tmem216,TMEM216
Rbm24,RBM24
Sbno2,SBNO2
Nsun7,NSUN7
Fgf23,FGF23
Gm44596,NRIP2
Jmjd1c,JMJD1C
Fabp9,FABP9
Trpm5,TRPM5
Sult2b1,SULT2B1
Tesmin,TESMIN
Gatd1,GATD1
Ndufaf4,NDUFAF4
Palm2,PALM2
Fbxw19,FBXW12
Gm37389,FABP9
Ube2ql1,UBE2QL1
Kif3c,KIF3C
Slc9a6,SLC9A6
Dpm2,DPM2
Fam124b,FAM124B
Psmb7,PSMB7
Cyp1a1,CYP1A1
Acss1,ACSS1
Crocc,CROCC
Zfp638,ZNF638
Cyp11b1,CYP11B2
Cyp11b1,CYP11B1
Apex2,APEX2
Catip,CATIP
Hist2h2be,HIST1H2BJ
Prpf39,PRPF39
Cdh13,CDH13
Tigar,TIGAR
Vcan,VCAN
Cyp1a2,CYP1A2
Cstf1,CSTF1
Colq,COLQ
Usp14,USP14
Neurl4,NEURL4
Aqp7,AQP7
Olfr1289,OR4F17
Snx32,SNX32
Arhgef39,ARHGEF39
Map1a,MAP1A
Tex52,TEX52
Tmsb15b2,TMSB15B
1810030O07Rik,CXorf38
Glod4,GLOD4
Prdx2,PRDX2
Rnaseh2a,RNASEH2A
Tas2r119,TAS2R1
Rpl13,RPL13
Pcyox1,PCYOX1
Uck1,UCK1
Mre11a,MRE11
Ppp1cb,PPP1CB
Matn3,MATN3
Fbxw25,FBXW12
Spock1,SPOCK1
Tmsb15b1,TMSB15B
Gdnf,GDNF
Hook2,HOOK2
Gdpd3,GDPD3
Dzip1,DZIP1
Acrbp,ACRBP
Mmel1,MMEL1
Fabp4,FABP4
Reps2,REPS2
Syde1,SYDE1
Gcat,GCAT
Lipi,LIPI
Fbxo11,FBXO11
Tcf7,TCF7
Grp,GRP
Saysd1,SAYSD1
1700030J22Rik,C16orf46
Eaf1,EAF1
Rsad2,RSAD2
Rab9b,RAB9B
Glra2,GLRA2
Slc25a1,SLC25A1
Angpt1,ANGPT1
Rb1cc1,RB1CC1
Wdr70,WDR70
Tex13b,TEX13B
Abt1,ABT1
Fbxw14,FBXW12
Gm28048,COMMD1
Ascc3,ASCC3
Smim5,SMIM5
Proser3,PROSER3
Pakap,PALM2-AKAP2
Pakap,AKAP2
Trmt5,TRMT5
Plcd1,PLCD1
Rab8b,RAB8B
Rnh1,RNH1
Pmp2,PMP2
Ttc32,TTC32
Jph1,JPH1
Lman2l,LMAN2L
Slc7a5,SLC7A5
Rad50,RAD50
Hacd1,HACD1
Hba-a2,HBA2
Hba-a2,HBA1
1700029I15Rik,C11orf94
Ucn3,UCN3
Mrm3,MRM3
Cabp7,CABP7
Dusp2,DUSP2
Bnc2,BNC2
Lrch1,LRCH1
Cmpk2,CMPK2
Nsg1,NSG1
Carhsp1,CARHSP1
Pex16,PEX16
Samd3,SAMD3
Snta1,SNTA1
Alas2,ALAS2
Trio,TRIO
Prickle4,PRICKLE4
Btbd2,BTBD2
Usp49,USP49
Samd9l,SAMD9L
Hexdc,HEXDC
Fbxw18,FBXW12
Myh1,MYH1
Gml2,GML
Mid1,MID1
Tollip,TOLLIP
Fbxo25,FBXO25
Rab11fip5,RAB11FIP5
Plgrkt,PLGRKT
Olfr1303,OR4F21
Nhs,NHS
Junb,JUNB
Frs3,FRS3
Pikfyve,PIKFYVE
Olfr1291-ps1,OR4F17
Cyp4f13,CYP4F12
Chd5,CHD5
Wdr35,WDR35
Dennd5a,DENND5A
Thoc1,THOC1
Tubal3,TUBAL3
Gm21981,PRICKLE4
Wtap,WTAP
Prr27,PRR27
Rpusd2,RPUSD2
Gpr50,GPR50
Elf5,ELF5
Mrgprb2,MRGPRX2
Acat2,ACAT2
Ascc2,ASCC2
Krt9,KRT9
Efna2,EFNA2
Mrgprb8,MRGPRX2
Bag4,BAG4
Sit1,SIT1
Slc12a3,SLC12A3
Car9,CA9
Cngb3,CNGB3
Myh8,MYH8
Gfra1,GFRA1
Nmrk1,NMRK1
Eif1ad,EIF1AD
Cyp4f17,CYP4F12
Slc38a6,SLC38A6
Cul3,CUL3
Qk,QKI
Ppip5k2,PPIP5K2
2310039H08Rik,C6orf226
Mrgprb1,MRGPRX2
Nxn,NXN
Crtap,CRTAP
Aph1b,APH1B
Cadm1,CADM1
Tex10,TEX10
Vma21-ps,VMA21
Cnpy3,CNPY3
Ets1,ETS1
Spink8,SPINK8
Rnf112,RNF112
Fubp3,FUBP3
Fbxw24,FBXW12
Slc17a3,SLC17A3
Myh2,MYH2
9430015G10Rik,C1orf159
Spg21,SPG21
Prex1,PREX1
Slc35a2,SLC35A2
Commd1,COMMD1
Cyfip2,CYFIP2
Ccdc107,CCDC107
Def6,DEF6
Cpne3,CPNE3
Zmynd11,ZMYND11
Abcf1,ABCF1
Rab10,RAB10
Fabp12,FABP12
4930402K13Rik,FAM47C
Pex6,PEX6
Sppl2c,SPPL2C
Dcun1d3,DCUN1D3
Fbxw26,FBXW12
Gpr68,GPR68
Lyzl1,LYZL1
Lingo2,LINGO2
Il18bp,IL18BP
Msrb1,MSRB1
Trappc3l,TRAPPC3L
Akain1,AKAIN1
Gabrg3,GABRG3
Cbfa2t2,CBFA2T2
Lamtor1,LAMTOR1
Fndc9,FNDC9
Hoxa13,HOXA13
Hbq1a,HBQ1
Layn,LAYN
Ilvbl,ILVBL
Fam173b,FAM173B
Dmac1,DMAC1
Msi2,MSI2
Itga4,ITGA4
Krt14,KRT14
C1rl,C1RL
Madd,MADD
Gin1,GIN1
Col12a1,COL12A1
Lmtk3,LMTK3
Cisd1,CISD1
Uqcr10,UQCR10
Prlhr,PRLHR
Mmgt2,MMGT1
Hbq1b,HBQ1
Eef1b2,EEF1B2
Npbwr1,NPBWR1
Rnf144a,RNF144A
Oprk1,OPRK1
Fam102a,FAM102A
Abra,ABRA
Sap30bp,SAP30BP
Fabp5,FABP5
Plp1,PLP1
Pmm2,PMM2
Cep250,CEP250
Reep3,REEP3
Ank1,ANK1
Trappc9,TRAPPC9
Acat3,ACAT2
Fndc11,FNDC11
Dpp4,DPP4
Tmsb15a,TMSB15B
Egfl7,EGFL7
Mrps24,MRPS24
Pdcd1lg2,PDCD1LG2
Ndufs1,NDUFS1
Rras,RRAS
Zc3h8,ZC3H8
4930480E11Rik,FAM47C
Cdh11,CDH11
Aak1,AAK1
Stmn4,STMN4
Uvssa,UVSSA
Mtg2,MTG2
Ypel3,YPEL3
Rgs6,RGS6
Muc5b,MUC5B
Cacna1c,CACNA1C
Plekhg2,PLEKHG2
Hist1h4a,HIST1H4I
Mnat1,MNAT1
Fabp1,FABP1
Spdya,SPDYA
Clec7a,CLEC7A
Ss18l1,SS18L1
Thap1,THAP1
St8sia6,ST8SIA6
Irf1,IRF1
Ddx23,DDX23
Cacng3,CACNG3
Trpm7,TRPM7
Adra2b,ADRA2B
Mrgprx2,MRGPRX2
Smim6,SMIM6
Tmsb15l,TMSB15B
Aph1c,APH1B
Cthrc1,CTHRC1
Nrip2,NRIP2
Blvra,BLVRA
Col6a1,COL6A1
Mus81,MUS81
Ipmk,IPMK
Sec11c,SEC11C
Sap130,SAP130
Siglecg,SIGLEC10
Fbxw15,FBXW12
Hba-a1,HBA2
Hba-a1,HBA1
Atrnl1,ATRNL1
Chrna6,CHRNA6
Pus7,PUS7
Mrgprb5,MRGPRX2
Rab11fip3,RAB11FIP3
Derl2,DERL2
Mum1,MUM1
,THSD8
Icam1,ICAM1
Tspan14,TSPAN14
Zfr2,ZFR2
Gpr63,GPR63
Rpl3l,RPL3L
Cmc2,CMC2
Numa1,NUMA1
Akap2,PALM2-AKAP2
Akap2,AKAP2
P3h3,P3H3
Slc25a37,SLC25A37
Cenpn,CENPN
Msantd3,MSANTD3
Mllt10,MLLT10
Crot,CROT
Fkbp3,FKBP3
Pnkd,PNKD
Ly96,LY96
Ptcra,PTCRA
Rtbdn,RTBDN
Srf,SRF
Tmeff1,TMEFF1
Spink1,SPINK1
Banp,BANP
Otulin,OTULIN
Pgk1,PGK1
Bbs2,BBS2
Slbp,SLBP
Hs6st3,HS6ST3
Cst6,CST6
Cdhr3,CDHR3
Sephs1,SEPHS1
Agbl5,AGBL5
Ubqln1,UBQLN1
Mettl16,METTL16
Magea1,MAGEA4
Ago2,AGO2
Anapc4,ANAPC4
Tex37,TEX37
Zcchc18,ZCCHC18
Cep78,CEP78
Ankrd49,ANKRD49
Nxph2,NXPH2
Ddx25,DDX25
Plpp6,PLPP6
Ncald,NCALD
Col6a2,COL6A2
Bri3,BRI3
Ccl12,CCL8
Map2,MAP2
Ripor3,RIPOR3
Atp5g3,ATP5MC3
Kcnq5,KCNQ5
Trim72,TRIM72
Endov,ENDOV
Nup98,NUP98
4930467E23Rik,POTEB2
Sh2d4b,SH2D4B
Cntnap3,CNTNAP3
Tmem147,TMEM147
Khdc3,KHDC3L
Pelo,PELO
Lcn8,LCN8
Slc25a53,SLC25A53
Cnbd1,CNBD1
Tox,TOX
Scgb2a2,SCGB2A1
Scgb2a2,SCGB2A2
Cdh2,CDH2
Stc1,STC1
Gm31371,POTEB2
Pbk,PBK
Msln,MSLN
Macrod1,MACROD1
Ccl11,CCL11
Gps2,GPS2
Shc4,SHC4
Hist1h4i,HIST1H4B
Pglyrp1,PGLYRP1
Idnk,IDNK
Tm7sf3,TM7SF3
Exosc1,EXOSC1
Ric1,RIC1
Slc17a2,SLC17A2
Oca2,OCA2
Ahrr,AHRR
Arfgef2,ARFGEF2
Gcnt7,GCNT7
Cdh5,CDH5
Arpc4,ARPC4
Pim2,PIM2
Sv2c,SV2C
Pdzd2,PDZD2
Bnip3,BNIP3
Slc44a1,SLC44A1
Hspb1,HSPB1
Dst,DST
Rps16,RPS16
Tdrp,TDRP
Msx1,MSX1
Ooep,OOEP
Gkap1,GKAP1
Ednrb,EDNRB
Msn,MSN
Ppp2r1b,PPP2R1B
Krt24,KRT24
Nkrf,NKRF
Gcom1,MYZAP
Noto,NOTO
Nfic,NFIC
Uggt2,UGGT2
Capn15,CAPN15
Gmppa,GMPPA
Jpt2,JPT2
Sytl5,SYTL5
Spx,SPX
Akap8,AKAP8
Arhgap33,ARHGAP33
Pou4f1,POU4F1
Pth2r,PTH2R
Nr5a1,NR5A1
Htr2a,HTR2A
Ugt3a1,UGT3A1
Magea5,MAGEA4
Pyroxd2,PYROXD2
Pigq,PIGQ
Anxa7,ANXA7
Zc2hc1b,ZC2HC1B
Rell2,RELL2
Olfr1414,OR6B2
Olfr1414,OR6B3
Apbb2,APBB2
Ell2,ELL2
Slc3a2,SLC3A2
Iah1,IAH1
Zfpm1,ZFPM1
Setdb2,SETDB2
Tcf19,TCF19
Eif2ak1,EIF2AK1
Ermp1,ERMP1
Wnt10b,WNT10B
Mau2,MAU2
Ankrd31,ANKRD31
Zcchc12,ZCCHC18
Cab39l,CAB39L
Rock2,ROCK2
Sp5,SP5
Fam199x,FAM199X
Exosc2,EXOSC2
Ccdc74a,CCDC74A
Actn1,ACTN1
Sirt3,SIRT3
Pttg1,PTTG2
Cope,COPE
Mageh1,MAGEH1
Rnf213,RNF213
Art5,ART5
Ost4,OST4
Ppl,PPL
Atp5s,ATP5S
Serpinb3a,SERPINB4
Wfdc2,WFDC2
Gls,GLS
Pdhx,PDHX
Jazf1,JAZF1
Prdm12,PRDM12
Fat3,FAT3
Gphn,GPHN
Dscr3,VPS26C
Magea6,MAGEA4
Wrb,WRB
Gm28041,ZNF720
Raver1,RAVER1
Celf5,CELF5
Magea4,MAGEA4
